binning,bin,block,block_meaning,sample,feature,family,n_rounds,n_games,n_rounds_heldout,n_games_heldout,coef_learn,p_learn,ci_low_learn,ci_high_learn,coef_val,p_val,ci_low_val,ci_high_val,q_learn,replicates
all,all rounds,cumulative,every message so far this game,channel,min_cognitive_mech_lexical_wordcount,Lexical (LIWC),2913,181,4170,275,-0.01386127394306989,5.665422979006871e-05,-0.020608758507096942,-0.007113789379042837,-0.00562264280991737,0.2521870937163694,-0.0152468041908731,0.00400151857103836,0.008554788698300375,False
all,all rounds,cumulative,every message so far this game,channel,min_num_chars,Volume & form,2913,181,4170,275,-0.020571984778782616,0.0003343587272691856,-0.03181231730309635,-0.009331652254468878,-0.0028386391670290985,0.7092046712827871,-0.017757560347975314,0.012080282013917119,0.023921005262005513,False
all,all rounds,cumulative,every message so far this game,channel,stdev_user_max_certainty_rocklage,Sentiment & emotion,2913,181,4170,275,0.0334685477342491,0.0005914674118760554,0.014374616659119942,0.052562478809378255,0.05038334082170742,3.239841614085278e-05,0.026622155965867506,0.07414452567754734,0.023921005262005513,True
all,all rounds,cumulative,every message so far this game,channel,mean_user_min_certainty_rocklage,Sentiment & emotion,2913,181,4170,275,-0.026925624147251775,0.00063366901356306,-0.04237095062497288,-0.011480297669530667,-0.01158453890304526,0.1665420681825731,-0.027997195589432075,0.004828117783341553,0.023921005262005513,False
all,all rounds,cumulative,every message so far this game,channel,min_nltk_english_stopwords_lexical_wordcount,Lexical (LIWC),2913,181,4170,275,-0.016291422107153994,0.0010405886099770594,-0.02602839035391947,-0.006554453860388517,0.0008390184002566516,0.9043935789702775,-0.012851796817190963,0.014529833617704265,0.03142577602130719,False
all,all rounds,cumulative,every message so far this game,channel,mean_user_min_positivity_zscore_conversation,Sentiment & emotion,2913,181,4170,275,-0.03012846791564996,0.0014012503448737202,-0.04861420370693653,-0.011642732124363387,-0.03775653464044927,0.00027703439478895246,-0.05810964562845174,-0.017403423652446803,0.035264800345988626,True
all,all rounds,cumulative,every message so far this game,channel,max_user_min_word_TTR,Volume & form,2913,181,4170,275,-0.013019321070178452,0.0024920624258166586,-0.02145676784385676,-0.0045818742965001436,0.016554393758760534,0.01130477629320908,0.0037457476525068357,0.029363039865014234,0.04865098241260136,False
all,all rounds,cumulative,every message so far this game,channel,min_certainty_rocklage,Sentiment & emotion,2913,181,4170,275,-0.03007663455840006,0.00257753549205835,-0.04963450162909794,-0.010518767487702179,-0.027373916533745678,0.0041730403864478115,-0.04610204276326382,-0.008645790304227532,0.04865098241260136,True
all,all rounds,cumulative,every message so far this game,channel,max_user_max_word_TTR,Volume & form,2913,181,4170,275,-0.012636259125053879,0.0032954929031639582,-0.02106388862367839,-0.00420862962642937,0.007981260718526777,0.039165489793127964,0.0003965776777090507,0.015565943759344503,0.055291047597528634,False
all,all rounds,cumulative,every message so far this game,channel,max_certainty_rocklage,Sentiment & emotion,2913,181,4170,275,0.03000250258437516,0.004899301371315808,0.009102510465927985,0.050902494702822335,0.050939240032292665,4.170444765721559e-05,0.026575340649383807,0.07530313941520153,0.06760077179449456,False
all,all rounds,cumulative,every message so far this game,channel,max_article_lexical_wordcount,Lexical (LIWC),2913,181,4170,275,0.025537711802491012,0.005124762021476339,0.007655799470283133,0.043419624134698895,0.052305500180318584,1.646062042397225e-05,0.028509608169229695,0.07610139219140748,0.06760077179449456,False
all,all rounds,cumulative,every message so far this game,channel,stdev_user_max_positive_words_lexical_wordcount,Lexical (LIWC),2913,181,4170,275,0.02537503890004523,0.005372246765125395,0.007509615745755774,0.04324046205433468,0.04740383638142309,5.9071072160944054e-05,0.024271752248320046,0.07053592051452615,0.06760077179449456,False
all,all rounds,cumulative,every message so far this game,channel,mean_user_max_textblob_subjectivity,Sentiment & emotion,2913,181,4170,275,0.028244744622416156,0.013907708109768232,0.00573790650974796,0.05075158273508435,0.053069689418997736,9.075321450857304e-05,0.02649513317132094,0.07964424566667452,0.16154337881346179,False
all,all rounds,cumulative,every message so far this game,channel,team_burstiness,Participation & timing,2913,181,4170,275,0.02456767158636858,0.015235435213057558,0.0047254647934183575,0.044409878379318805,0.04507610414045636,1.946916540645128e-07,0.028100347071396775,0.062051861209515946,0.16296207002191965,False
all,all rounds,cumulative,every message so far this game,channel,min_textblob_subjectivity,Sentiment & emotion,2913,181,4170,275,0.01433177650000125,0.016188285101515196,0.0026503046952242263,0.026013248304778275,0.0012563866976673097,0.8728198658007096,-0.014126596977084889,0.01663937037241951,0.16296207002191965,False
all,all rounds,cumulative,every message so far this game,channel,max_past_tense_lexical_wordcount,Lexical (LIWC),2913,181,4170,275,0.020558888122179066,0.023862648627129123,0.002724123761318434,0.0383936524830397,0.041165129266057685,0.0006661915480779704,0.01745688798702873,0.06487337054508664,0.2252037464185311,False
all,all rounds,cumulative,every message so far this game,channel,mean_user_min_info_exchange_zscore_conversation,Semantic dynamics,2913,181,4170,275,-0.017039760021784454,0.029081294278881106,-0.032342903119701547,-0.0017366169238673644,-0.033471705114415905,0.003636344815550682,-0.05603055244928737,-0.010912857779544441,0.25831031977123803,False
all,all rounds,cumulative,every message so far this game,channel,min_user_min_verbs_lexical_wordcount,Lexical (LIWC),2913,181,4170,275,-0.007851965763126348,0.03914786685022814,-0.015313107958183874,-0.00039082356806882136,0.0017680033017778627,0.8053273640231088,-0.01229206558431409,0.015828072187869816,0.3284071052435805,False
